,hodl,hourly,daily,weekly,monthly
KORE-NAV-GO-DMD-ION,2736.993197952314,10550.328319922275,7133.759335154076,5347.147760846772,4395.009442172872
TIX-NEOS-UP-GNT-IOC,2706.809948119218,8213.206789422331,5802.128111826675,4869.009484206172,3209.8132902296447
REP-XLM-KORE-IHT-XDN,2819.4272593221167,8531.687429865187,5980.490180896744,5283.837907954195,3897.0619979737603
BAT-TRX-OCN-PAX-RCN,2727.5745971130364,7326.521812817376,7214.915262539759,6700.487502139982,3395.8655876048247
CANN-AID-TX-SWIFT-KMD,2511.495738204051,11525.131121230637,6633.260066499799,4361.997472092519,3360.368229069075
MFT-CLOAK-GTO-MET-RVR,2240.7012436973732,5899.014057570785,4532.192565320336,4057.979264106703,2797.915743314894
EBST-KMD-GEO-DOGE-EXCL,3307.573814403654,10942.620872993371,6694.965292352616,5426.206477322514,4115.371490265677
OK-GNT-LTC-MTL-DTB,2663.4629857769546,6490.9565190239855,6463.316983830317,5488.835543916737,3477.5964614338677
PAX-MFT-TIX-NXC-DGB,2778.8870490645836,9220.697511130238,7853.294122468062,9074.281746471941,3205.417567154226
LRC-XDN-POT-BLOCK-ADT,2619.195687257337,5353.388618497481,4599.669546053236,3753.3949814339003,3168.6337070599598
SHIFT-KORE-SIB-VRM-BLK,3905.6459654800133,27351.052878147988,11450.770569699813,6920.4597341985855,4709.175621624617
NBT-DMD-NXC-VTC-CURE,3179.2863762367797,9675.02960935169,6950.717867085727,6872.0667046908375,3657.1910511916963
NLG-CVC-SYS-NBT-UKG,2896.9642110607506,7716.103015013783,6920.450079208397,6555.958814295146,4994.217213042129
PPC-MTL-MORE-TIX-PTOY,2880.081463340543,8972.441150694767,6506.084423106166,5332.713792060169,3675.8607627659862
LUN-LRC-EGC-GOLOS-PART,3219.9465941012754,7614.570634490996,6653.6782476968065,8032.576272904527,4996.856816297721
THC-SWIFT-ADX-DCR-SPC,2258.937004486404,4.4055187139640555e+60,10099.789131090178,8930.459449262571,2730.483411255437
THC-DCR-TRX-BKX-ZCL,2447.561586342776,4826.899114557482,4298.291316124154,4121.7600177971335,3027.8193277821656
FTC-EMC2-TRX-RVR-NEO,2779.2413772320674,4166.081764707792,3685.3028778838616,3537.4569280717405,3008.8326655920805
RVN-NMR-STRAT-OK-EXCL,3265.6672264799377,14413.091188738115,8803.484498196856,6743.632060265241,4490.722857633095
