date,market_cap
2017-09-13,64311123695
2017-09-14,52265453816
2017-09-15,60267886368
2017-09-16,60068678195
2017-09-17,59377995376
2017-09-18,67377945990
2017-09-19,65061185838
2017-09-20,64751811835
2017-09-21,60202370872
2017-09-22,60203040223
2017-09-23,62892069389
2017-09-24,61081971156
2017-09-25,65122213849
2017-09-26,64569365079
2017-09-27,69691950752
2017-09-28,69270823146
2017-09-29,69086146650
2017-09-30,72008428789
2017-10-01,73094870674
2017-10-02,73195646776
2017-10-03,71681069637
2017-10-04,70225033578
2017-10-05,71876277937
2017-10-06,72589262957
2017-10-07,73529314833
2017-10-08,76589293760
2017-10-09,79282158943
2017-10-10,79457603224
2017-10-11,80205238020
2017-10-12,90525666972
2017-10-13,93864253934
2017-10-14,96942498331
2017-10-15,94403031755
2017-10-16,95203392843
2017-10-17,93218297189
2017-10-18,92982539106
2017-10-19,94954808115
2017-10-20,100007083345
2017-10-21,100353682389
2017-10-22,99981911326
2017-10-23,98695054084
2017-10-24,91988225800
2017-10-25,95732630220
2017-10-26,98310176011
2017-10-27,96254297360
2017-10-28,95797359518
2017-10-29,102482445590
2017-10-30,102105356519
2017-10-31,107743731291
2017-11-01,112735345036
2017-11-02,117933380780
2017-11-03,120097405359
2017-11-04,122978748805
2017-11-05,123449206170
2017-11-06,117050623317
2017-11-07,119091456315
2017-11-08,124360767999
2017-11-09,119104730750
2017-11-10,110354089394
2017-11-11,106016076151
2017-11-12,99226193603
2017-11-13,109400650105
2017-11-14,110683148744
2017-11-15,122035826506
2017-11-16,131328418537
2017-11-17,128621507062
2017-11-18,129997247838
2017-11-19,134124196206
2017-11-20,136881802624
2017-11-21,134739693480
2017-11-22,137797862084
2017-11-23,134227860479
2017-11-24,137831976173
2017-11-25,146820557006
2017-11-26,155850742551
2017-11-27,164019464090
2017-11-28,168056012886
2017-11-29,165233728795
2017-11-30,171020085600
2017-12-01,183444663767
2017-12-02,185122039035
2017-12-03,189302389920
2017-12-04,194912755450
2017-12-05,199278350420
2017-12-06,239024437136
2017-12-07,299405364249
2017-12-08,277185764485
2017-12-09,253946084745
2017-12-10,258615393665
2017-12-11,283439888520
2017-12-12,291483935710
2017-12-13,274663619978
2017-12-14,277310347000
2017-12-15,296482120238
2017-12-16,326502485530
2017-12-17,320576568850
2017-12-18,320174318520
2017-12-19,297801055828
2017-12-20,278528964015
2017-12-21,264788651530
2017-12-22,231788283457
2017-12-23,246349213910
2017-12-24,233414163395
2017-12-25,235126843805
2017-12-26,269908107763
2017-12-27,265559172050
2017-12-28,244929825575
2017-12-29,245793634125
2017-12-30,217239803085
2017-12-31,237465823980
2018-01-01,229119155396
2018-01-02,251377913955
2018-01-03,255080562912
2018-01-04,261795321110
2018-01-05,292544135538
2018-01-06,294217423675
2018-01-07,276634797271
2018-01-08,254715263101
2018-01-09,245095808695
2018-01-10,251472635522
2018-01-11,225178724050
2018-01-12,234865160377
2018-01-13,241268592240
2018-01-14,231413491364
2018-01-15,232242775485
2018-01-16,193121120762
2018-01-17,188070430523
2018-01-18,192907550324
2018-01-19,195158837709
2018-01-20,216907619830
2018-01-21,195089460991
2018-01-22,183866421285
2018-01-23,182830257191
2018-01-24,191115225673
2018-01-25,189455303273
2018-01-26,187995804677
2018-01-27,192550550498
